Filename1,Model1,Translation Count1,Last Language1,Filename2,Model2,Translation Count2,Last Language2,Final Language,BLEU,METEOR,ROUGE
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,claude-3-7-sonnet-20250219_english_to_arabic_to_mandarin_to_french_to_english.txt,claude-3-7-sonnet-20250219,4,french,english,0.0152,0.1664,0.2011
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gemini-2.0-flash_english_to_mandarin_to_french_to_arabic_to_english.txt,gemini-2.0-flash,4,arabic,english,0.0141,0.1921,0.2275
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,deepseek-chat_english_to_french_to_mandarin_to_english.txt,deepseek-chat,3,mandarin,english,0.0035,0.1101,0.1119
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gemini-2.0-flash_english_to_mandarin_to_english.txt,gemini-2.0-flash,2,mandarin,english,0.0064,0.1672,0.1905
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-4-turbo_english_to_mandarin_to_arabic_to_french_to_english.txt,gpt-4-turbo,4,french,english,0.0054,0.2042,0.2095
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-4-turbo_english_to_mandarin_to_english.txt,gpt-4-turbo,2,mandarin,english,0.1446,0.3509,0.4419
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-4-turbo_english_to_french_to_mandarin_to_english.txt,gpt-4-turbo,3,mandarin,english,0.0188,0.1982,0.2323
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,deepseek-chat_english_to_french_to_arabic_to_english.txt,deepseek-chat,3,arabic,english,0.0035,0.0970,0.1311
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-3.5-turbo_english_to_french_to_mandarin_to_arabic_to_english.txt,gpt-3.5-turbo,4,arabic,english,0.0443,0.2446,0.2365
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,claude-3-7-sonnet-20250219_english_to_mandarin_to_arabic_to_french_to_english.txt,claude-3-7-sonnet-20250219,4,french,english,0.0076,0.1906,0.2233
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gemini-2.0-flash_english_to_french_to_arabic_to_mandarin_to_english.txt,gemini-2.0-flash,4,mandarin,english,0.0065,0.1439,0.2032
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-3.5-turbo_english_to_mandarin_to_arabic_to_english.txt,gpt-3.5-turbo,3,arabic,english,0.0140,0.2152,0.2069
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-4-turbo_english_to_arabic_to_mandarin_to_french_to_english.txt,gpt-4-turbo,4,french,english,0.0344,0.1430,0.1935
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-3.5-turbo_english_to_arabic_to_french_to_mandarin_to_english.txt,gpt-3.5-turbo,4,mandarin,english,0.0729,0.2580,0.3030
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-3.5-turbo_english_to_french_to_arabic_to_english.txt,gpt-3.5-turbo,3,arabic,english,0.0145,0.1962,0.2094
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gemini-2.0-flash_english_to_mandarin_to_arabic_to_english.txt,gemini-2.0-flash,3,arabic,english,0.0121,0.1390,0.2140
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gemini-2.0-flash_english_to_french_to_english.txt,gemini-2.0-flash,2,french,english,0.0124,0.2516,0.3699
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,gpt-4-turbo_english_to_arabic_to_french_to_english.txt,gpt-4-turbo,3,french,english,0.0473,0.2716,0.2812
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,arabic,deepseek-chat_english_to_arabic_to_mandarin_to_french_to_english.txt,deepseek-chat,4,french,english,0.0215,0.1986,0.2065
