Filename,Model,Translation Count,Final Language,Last Language,BLEU,METEOR,ROUGE
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,english,arabic,0.2886,0.5311,0.6220
claude-3-7-sonnet-20250219_english_to_arabic_to_mandarin_to_french_to_english.txt,claude-3-7-sonnet-20250219,4,english,french,0.0146,0.1842,0.1885
gemini-2.0-flash_english_to_mandarin_to_french_to_arabic_to_english.txt,gemini-2.0-flash,4,english,arabic,0.0140,0.2132,0.2066
deepseek-chat_english_to_french_to_mandarin_to_english.txt,deepseek-chat,3,english,mandarin,0.0033,0.0991,0.1259
gemini-2.0-flash_english_to_mandarin_to_english.txt,gemini-2.0-flash,2,english,mandarin,0.0182,0.2256,0.2618
gemini-2.0-flash_english_to_french_to_mandarin_to_arabic.txt,gemini-2.0-flash,3,arabic,mandarin,0.0000,0.0000,0.0000
gpt-4-turbo_english_to_arabic_to_french.txt,gpt-4-turbo,2,french,arabic,0.0071,0.1645,0.1463
claude-3-7-sonnet-20250219_english_to_french_to_arabic.txt,claude-3-7-sonnet-20250219,2,arabic,french,0.0021,0.0057,0.0000
gpt-4-turbo_english_to_mandarin_to_arabic_to_french_to_english.txt,gpt-4-turbo,4,english,french,0.0029,0.1282,0.1887
gpt-4-turbo_english_to_mandarin_to_english.txt,gpt-4-turbo,2,english,mandarin,0.0988,0.2785,0.4138
gpt-4-turbo_english_to_french_to_mandarin_to_english.txt,gpt-4-turbo,3,english,mandarin,0.0118,0.1417,0.2300
deepseek-chat_english_to_french_to_arabic_to_english.txt,deepseek-chat,3,english,arabic,0.0077,0.1263,0.1730
gemini-2.0-flash_english_to_arabic_to_mandarin.txt,gemini-2.0-flash,2,mandarin,arabic,0.0000,0.0000,0.0000
gpt-3.5-turbo_english_to_french_to_mandarin_to_arabic_to_english.txt,gpt-3.5-turbo,4,english,arabic,0.0300,0.1852,0.2537
deepseek-chat_english_to_arabic_to_mandarin.txt,deepseek-chat,2,mandarin,arabic,0.0000,0.0000,0.0000
claude-3-7-sonnet-20250219_english_to_mandarin_to_arabic_to_french_to_english.txt,claude-3-7-sonnet-20250219,4,english,french,0.0029,0.1390,0.2028
